country_name,country_code,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
Gabon,GAB,44835,59285,63889,63994,73285,33793,72778,63909,57123,63593,78674,62679,48878,39356,45644,34329,21419,16776,na,na,61714,30767,47873,50629,63385,103945,106645,71406,57450,80247,100629,70928,82245,54849,74310,35842
Gambia,GMB,na,na,na,na,na,na,na,na,na,na,na,na,na,na,50674,60004,34698,51993,70119,na,na,na,102914,158376,379015,614989,733077,185534,222538,215414,188035,na,299824,135909,266189,325555
Ghana,GHA,230323,812916,na,116916,na,na,na,na,na,151517,na,212045,na,na,443310,413319,371558,na,na,na,224572,na,na,593368,807019,1141886,1232882,1556169,1438713,1372771,1446947,1697109,1672709,1928316,2189860,2227762
Greece,GRC,132,76,100,75,28,27,48,38,26,60,65,35,29,34,41,48,79,44,53,64,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Grenada,GRD,0,0,0,0,0,0,0,0,0,na,1,na,na,1,0,0,58,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Guatemala,GTM,5996,15116,20401,14472,22045,19684,10407,10494,11044,8280,7750,6182,4030,4979,9616,34907,59755,69039,62657,67994,77375,64024,74132,54958,42609,57662,52561,42453,41711,57829,57560,41868,22057,24178,20268,32099
Guinea,GIN,na,na,62570,na,100761,na,199507,45089,60921,166599,92865,99157,88860,64338,64246,53368,52210,23086,na,na,46189,103628,na,na,80280,21033,88256,187813,21762,17718,na,na,607560,600317,772731,802210
Guinea-Bissau,GNB,na,69655,na,58077,74183,33071,na,na,26895,na,na,na,na,na,58000,116924,153016,160931,148142,161496,143003,147903,160538,121614,121201,136405,104151,96235,81835,64123,56073,158748,na,na,na,na
Guyana,GUY,425,473,223,28,910,na,61,25,18,27,266,42,72,1116,4642,1563,927,2294,3202,2065,1700,2102,3017,7900,16388,34142,35470,20822,22681,42204,39702,33172,39566,59311,na,32103
Haiti,HTI,4033,6662,19170,10304,8378,4871,2562,5005,10658,11347,25961,22858,25441,24733,15087,27679,60472,41252,53478,46703,65354,53954,69863,16662,14363,12134,12306,23231,4806,25511,13457,853,23140,na,18877,na
Honduras,HND,5750,7077,6673,6952,17127,16152,15666,29584,34537,48586,18651,8862,7503,28876,48804,39414,34606,25297,43009,49377,57482,37536,27332,33828,29130,19095,29737,45922,53095,73352,70838,44513,52110,59446,74487,65863
Hong Kong,,794,377,180,111,113,55,19,11,3,9,10,16,21,21,39,40,47,40,49,62,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Hungary,HUN,4,1,5,13,1,5,2,3,8,5,4,6,5,8,2,4,8,13,6,34,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
India,IND,59575,87306,112942,100185,148156,201369,220266,286962,694647,1323118,1430025,1934485,3172866,5166142,6467215,4740900,4144385,3064697,2844815,2622639,2182302,2018605,2184446,1864380,1792167,1663284,1854830,2050000,2018783,2111401,2125826,2207431,2222869,2988231,2851222,2660057
Indonesia,IDN,na,5901,13224,4674,9738,10749,20311,na,130351,135752,244376,494277,394175,214346,177293,166943,181410,165911,175239,149576,204010,264335,202083,122771,100060,129485,131043,135323,171908,132412,103277,136367,145920,123226,179878,161285
Iran,IRN,8259,na,71015,10582,29056,46721,54417,38109,24325,13146,20696,16996,33928,37560,47653,54059,35323,22175,32635,29655,42808,45916,30835,26363,32284,38483,53319,59175,77470,96340,76971,64581,51089,67532,56362,38684
Iraq,IRQ,2234,7404,10534,6075,12878,8072,na,13010,14237,6971,6336,3783,2018,14030,8212,5069,3570,4012,2815,na,3326,2422,3340,4779,2953,3724,6833,3428,3924,7105,5535,41071,96368,96735,58349,14006
Israel,ISR,5,28,20,31,20,13,17,23,28,78,32,37,15,9,13,28,17,16,43,44,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Jordania,JOR,na,61,425,226,56,28,63,70,86,80,196,240,218,261,255,360,400,320,202,274,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Kenya,KEN,8842,263,11063,na,na,256920,256720,574687,na,na,333467,481524,na,663126,487184,na,764863,437660,na,na,685037,na,na,3689636,4574015,4067572,4099138,5430205,na,na,na,na,6103447,4343190,na,na
Korea Republic of,KOR,4600,1425,1028,na,11613,16653,19558,na,15926,9867,5700,747,611,314,294,11,n,na,na,na,0,0,0,0,0,0,0,0,0,0,0,1,21,107,356,1724
Kuwait,KWT,24,37,33,47,40,73,130,92,94,na,na,194,50,153,172,159,n,98,98,142,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Lao,LAO,132788,151191,291857,175528,189876,226738,166546,52338,29187,21243,4646,6920,13253,2859,2258,3047,na,na,12603,na,na,5564,7210,21201,21744,34960,37724,34673,21499,41026,38487,41787,52601,53614,51550,54133
Lebanon,LBN,183,91,14,7,6,11,32,14,25,10,12,22,17,na,na,17,8,9,4,9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Liberia,LBR,9780,6754,8410,5102,6560,21547,12668,19940,na,na,7350,13140,11864,18136,64086,145114,232112,na,201946,na,282896,na,na,130005,na,na,na,na,na,na,na,na,na,na,na,na
