pr,"	Year", Month, Country
54.1391,1995,4,HUN
73.0126,1995,5,HUN
111.034,1995,6,HUN
42.4256,1995,7,HUN
76.2787,1995,8,HUN
81.3462,1995,9,HUN
4.12845,1995,10,HUN
50.9428,1995,11,HUN
68.1461,1995,12,HUN
43.5998,1996,1,HUN
28.2698,1996,2,HUN
16.9428,1996,3,HUN
53.7985,1996,4,HUN
93.1918,1996,5,HUN
46.4873,1996,6,HUN
58.3216,1996,7,HUN
84.1365,1996,8,HUN
105.529,1996,9,HUN
39.0526,1996,10,HUN
35.9222,1996,11,HUN
51.849,1996,12,HUN
21.6516,1997,1,HUN
14.878,1997,2,HUN
16.2094,1997,3,HUN
38.8122,1997,4,HUN
56.3165,1997,5,HUN
73.4308,1997,6,HUN
99.8767,1997,7,HUN
48.5301,1997,8,HUN
22.9375,1997,9,HUN
34.7422,1997,10,HUN
53.618,1997,11,HUN
49.6086,1997,12,HUN
34.2687,1998,1,HUN
2.76518,1998,2,HUN
18.4612,1998,3,HUN
67.7631,1998,4,HUN
72.2454,1998,5,HUN
77.7758,1998,6,HUN
90.4658,1998,7,HUN
61.093,1998,8,HUN
110.379,1998,9,HUN
85.0295,1998,10,HUN
60.6854,1998,11,HUN
27.3463,1998,12,HUN
19.7333,1999,1,HUN
64.7412,1999,2,HUN
21.1225,1999,3,HUN
65.8494,1999,4,HUN
61.7865,1999,5,HUN
113.841,1999,6,HUN
122.15,1999,7,HUN
75.4962,1999,8,HUN
32.7058,1999,9,HUN
30.5575,1999,10,HUN
82.3861,1999,11,HUN
71.7019,1999,12,HUN
20.1068,2000,1,HUN
20.1824,2000,2,HUN
49.4985,2000,3,HUN
54.2693,2000,4,HUN
32.1034,2000,5,HUN
26.5334,2000,6,HUN
72.136,2000,7,HUN
16.7933,2000,8,HUN
36.6821,2000,9,HUN
19.4083,2000,10,HUN
44.5411,2000,11,HUN
47.5529,2000,12,HUN
55.3731,2001,1,HUN
14.2505,2001,2,HUN
74.9038,2001,3,HUN
48.6874,2001,4,HUN
27.5586,2001,5,HUN
101.137,2001,6,HUN
88.5037,2001,7,HUN
35.2152,2001,8,HUN
106.197,2001,9,HUN
10.4114,2001,10,HUN
42.8474,2001,11,HUN
21.3871,2001,12,HUN
9.41214,2002,1,HUN
28.2284,2002,2,HUN
20.9475,2002,3,HUN
47.2323,2002,4,HUN
56.3695,2002,5,HUN
54.5279,2002,6,HUN
87.9716,2002,7,HUN
99.553,2002,8,HUN
62.5586,2002,9,HUN
64.4426,2002,10,HUN
35.541,2002,11,HUN
43.4533,2002,12,HUN
46.1186,2003,1,HUN
23.9518,2003,2,HUN
6.69311,2003,3,HUN
22.7877,2003,4,HUN
45.965,2003,5,HUN
38.7608,2003,6,HUN
81.7018,2003,7,HUN
28.4823,2003,8,HUN
41.0833,2003,9,HUN
90.4314,2003,10,HUN
37.3735,2003,11,HUN
22.659,2003,12,HUN
39.3634,2004,1,HUN
50.9941,2004,2,HUN
49.651,2004,3,HUN
65.9525,2004,4,HUN
62.9639,2004,5,HUN
95.5211,2004,6,HUN
73.4213,2004,7,HUN
71.5844,2004,8,HUN
36.7595,2004,9,HUN
59.9932,2004,10,HUN
64.0005,2004,11,HUN
36.0067,2004,12,HUN
21.8094,2005,1,HUN
48.0709,2005,2,HUN
28.8797,2005,3,HUN
75.4109,2005,4,HUN
66.8722,2005,5,HUN
66.1915,2005,6,HUN
103.424,2005,7,HUN
135.623,2005,8,HUN
59.1388,2005,9,HUN
8.74225,2005,10,HUN
32.9948,2005,11,HUN
77.7267,2005,12,HUN
32.9725,2006,1,HUN
40.8447,2006,2,HUN
45.4057,2006,3,HUN
56.9406,2006,4,HUN
89.4777,2006,5,HUN
104.518,2006,6,HUN
29.9852,2006,7,HUN
117.643,2006,8,HUN
18.1178,2006,9,HUN
24.8822,2006,10,HUN
25.8195,2006,11,HUN
12.6529,2006,12,HUN
41.0228,2007,1,HUN
48.5499,2007,2,HUN
50.5116,2007,3,HUN
3.4582,2007,4,HUN
84.9712,2007,5,HUN
52.1941,2007,6,HUN
43.3845,2007,7,HUN
79.6115,2007,8,HUN
83.1025,2007,9,HUN
67.9944,2007,10,HUN
53.0944,2007,11,HUN
39.6089,2007,12,HUN
22.662,2008,1,HUN
6.51968,2008,2,HUN
58.4268,2008,3,HUN
44.5612,2008,4,HUN
46.7617,2008,5,HUN
112.635,2008,6,HUN
108.585,2008,7,HUN
44.8617,2008,8,HUN
54.417,2008,9,HUN
29.2744,2008,10,HUN
36.4918,2008,11,HUN
64.3078,2008,12,HUN
47.1842,2009,1,HUN
45.7542,2009,2,HUN
41.5118,2009,3,HUN
13.5191,2009,4,HUN
39.6747,2009,5,HUN
110.565,2009,6,HUN
45.8705,2009,7,HUN
43.0653,2009,8,HUN
24.0601,2009,9,HUN
65.1883,2009,10,HUN
76.1922,2009,11,HUN
78.2987,2009,12,HUN
53.8679,2010,1,HUN
54.1747,2010,2,HUN
23.628,2010,3,HUN
66.7264,2010,4,HUN
158.046,2010,5,HUN
120.347,2010,6,HUN
80.7047,2010,7,HUN
86.1772,2010,8,HUN
110.623,2010,9,HUN
42.6306,2010,10,HUN
73.7564,2010,11,HUN
68.5797,2010,12,HUN
18.2176,2011,1,HUN
11.7862,2011,2,HUN
29.1542,2011,3,HUN
19.399,2011,4,HUN
50.4184,2011,5,HUN
65.5708,2011,6,HUN
104.315,2011,7,HUN
33.8158,2011,8,HUN
18.3254,2011,9,HUN
33.134,2011,10,HUN
1.01718,2011,11,HUN
55.3044,2011,12,HUN
33.0648,2012,1,HUN
27.8614,2012,2,HUN
3.5221,2012,3,HUN
35.8106,2012,4,HUN
76.1617,2012,5,HUN
64.2119,2012,6,HUN
72.7692,2012,7,HUN
13.1314,2012,8,HUN
40.5572,2012,9,HUN
75.2163,2012,10,HUN
37.0358,2012,11,HUN
53.2605,2012,12,HUN
54.7049,2013,1,HUN
68.7625,2013,2,HUN
80.0551,2013,3,HUN
33.9211,2013,4,HUN
93.0222,2013,5,HUN
59.6626,2013,6,HUN
20.089,2013,7,HUN
58.503,2013,8,HUN
59.2662,2013,9,HUN
27.5335,2013,10,HUN
61.8497,2013,11,HUN
6.77119,2013,12,HUN
33.0294,2014,1,HUN
52.0507,2014,2,HUN
16.6898,2014,3,HUN
43.8577,2014,4,HUN
110.669,2014,5,HUN
52.4351,2014,6,HUN
121.181,2014,7,HUN
89.1856,2014,8,HUN
101.293,2014,9,HUN
73.4644,2014,10,HUN
27.4431,2014,11,HUN
51.7803,2014,12,HUN
60.2013,2015,1,HUN
26.1002,2015,2,HUN
25.1631,2015,3,HUN
17.0644,2015,4,HUN
83.1362,2015,5,HUN
37.2774,2015,6,HUN
46.7313,2015,7,HUN
69.674,2015,8,HUN
60.1924,2015,9,HUN
97.8101,2015,10,HUN
35.704,2015,11,HUN
6.98645,2015,12,HUN
276.863,1991,1,IDN
217.155,1991,2,IDN
303.334,1991,3,IDN
336.473,1991,4,IDN
215.972,1991,5,IDN
118.67,1991,6,IDN
133.635,1991,7,IDN
118.436,1991,8,IDN
95.1606,1991,9,IDN
138.273,1991,10,IDN
234.597,1991,11,IDN
309.353,1991,12,IDN
228.131,1992,1,IDN
221.278,1992,2,IDN
250.636,1992,3,IDN
291.255,1992,4,IDN
239.862,1992,5,IDN
153.164,1992,6,IDN
180.381,1992,7,IDN
158.934,1992,8,IDN
198.815,1992,9,IDN
236.894,1992,10,IDN
221.455,1992,11,IDN
302.035,1992,12,IDN
273.174,1993,1,IDN
191.578,1993,2,IDN
262.971,1993,3,IDN
273.603,1993,4,IDN
274.875,1993,5,IDN
180.976,1993,6,IDN
145.023,1993,7,IDN
121.518,1993,8,IDN
136.045,1993,9,IDN
182.776,1993,10,IDN
250.27,1993,11,IDN
275.168,1993,12,IDN
282.614,1994,1,IDN
255.695,1994,2,IDN
364.051,1994,3,IDN
296.723,1994,4,IDN
225.738,1994,5,IDN
183.286,1994,6,IDN
84.2406,1994,7,IDN
143.06,1994,8,IDN
75.2908,1994,9,IDN
143.927,1994,10,IDN
202.174,1994,11,IDN
298.768,1994,12,IDN
326.591,1995,1,IDN
310.175,1995,2,IDN
324.361,1995,3,IDN
299.805,1995,4,IDN
215.19,1995,5,IDN
193.36,1995,6,IDN
171.646,1995,7,IDN
206.598,1995,8,IDN
192.958,1995,9,IDN
232.552,1995,10,IDN
321.029,1995,11,IDN
297.169,1995,12,IDN
271.098,1996,1,IDN
290.296,1996,2,IDN
233.351,1996,3,IDN
295.871,1996,4,IDN
204.425,1996,5,IDN
177.557,1996,6,IDN
141.136,1996,7,IDN
220.638,1996,8,IDN
168.492,1996,9,IDN
319.371,1996,10,IDN
284.971,1996,11,IDN
316.683,1996,12,IDN
223.794,1997,1,IDN
279.988,1997,2,IDN
241.123,1997,3,IDN
239.681,1997,4,IDN
194.19,1997,5,IDN
91.3394,1997,6,IDN
142.808,1997,7,IDN
91.726,1997,8,IDN
96.8714,1997,9,IDN
133.2,1997,10,IDN
190.927,1997,11,IDN
270.258,1997,12,IDN
220.268,1998,1,IDN
203.539,1998,2,IDN
258.166,1998,3,IDN
254.695,1998,4,IDN
267.215,1998,5,IDN
246.411,1998,6,IDN
217.345,1998,7,IDN
241.809,1998,8,IDN
270.201,1998,9,IDN
295.462,1998,10,IDN
314.006,1998,11,IDN
314.463,1998,12,IDN
328.596,1999,1,IDN
270.084,1999,2,IDN
308.774,1999,3,IDN
285.484,1999,4,IDN
230.814,1999,5,IDN
192.122,1999,6,IDN
216.503,1999,7,IDN
179.435,1999,8,IDN
184.807,1999,9,IDN
321.922,1999,10,IDN
261.843,1999,11,IDN
297.348,1999,12,IDN
298.004,2000,1,IDN
250.758,2000,2,IDN
301.55,2000,3,IDN
279.658,2000,4,IDN
239.274,2000,5,IDN
250.359,2000,6,IDN
169.902,2000,7,IDN
186.601,2000,8,IDN
199.597,2000,9,IDN
306.045,2000,10,IDN
347.084,2000,11,IDN
281.618,2000,12,IDN
341.008,2001,1,IDN
255.063,2001,2,IDN
325.607,2001,3,IDN
301.525,2001,4,IDN
