pr,"	Year", Month, Country, ISO3, ISO2
16.5647,1931,4,QAT,,
0.43786,1931,5,QAT,,
0.17117,1931,6,QAT,,
0.07374,1931,7,QAT,,
0.2036,1931,8,QAT,,
0,1931,9,QAT,,
0.04065,1931,10,QAT,,
0.48515,1931,11,QAT,,
2.89491,1931,12,QAT,,
2.27949,1932,1,QAT,,
2.74994,1932,2,QAT,,
26.0557,1932,3,QAT,,
2.05551,1932,4,QAT,,
9.81003,1932,5,QAT,,
0.17117,1932,6,QAT,,
0.07374,1932,7,QAT,,
0.2036,1932,8,QAT,,
0,1932,9,QAT,,
0.04065,1932,10,QAT,,
0.48515,1932,11,QAT,,
50.722,1932,12,QAT,,
9.80416,1933,1,QAT,,
12.654,1933,2,QAT,,
3.28096,1933,3,QAT,,
21.2029,1933,4,QAT,,
1.76263,1933,5,QAT,,
0.17117,1933,6,QAT,,
0.07374,1933,7,QAT,,
0.2036,1933,8,QAT,,
0,1933,9,QAT,,
0.04065,1933,10,QAT,,
0.48515,1933,11,QAT,,
1.63193,1933,12,QAT,,
2.27949,1934,1,QAT,,
3.32704,1934,2,QAT,,
39.879,1934,3,QAT,,
9.6908,1934,4,QAT,,
0.43786,1934,5,QAT,,
0.17117,1934,6,QAT,,
0.07374,1934,7,QAT,,
0.2036,1934,8,QAT,,
0,1934,9,QAT,,
0.04065,1934,10,QAT,,
10.9672,1934,11,QAT,,
19.4108,1934,12,QAT,,
2.27949,1935,1,QAT,,
26.9656,1935,2,QAT,,
12.3971,1935,3,QAT,,
9.4635,1935,4,QAT,,
0.43786,1935,5,QAT,,
0.17117,1935,6,QAT,,
0.07374,1935,7,QAT,,
0.2036,1935,8,QAT,,
0,1935,9,QAT,,
0.04065,1935,10,QAT,,
3.41961,1935,11,QAT,,
21.4273,1935,12,QAT,,
14.673,1936,1,QAT,,
10.5053,1936,2,QAT,,
18.3132,1936,3,QAT,,
2.58342,1936,4,QAT,,
1.46458,1936,5,QAT,,
0.17117,1936,6,QAT,,
0.06401,1936,7,QAT,,
0.2036,1936,8,QAT,,
0,1936,9,QAT,,
0.04065,1936,10,QAT,,
3.93701,1936,11,QAT,,
7.63697,1936,12,QAT,,
10.3813,1937,1,QAT,,
7.61149,1937,2,QAT,,
16.3413,1937,3,QAT,,
6.38663,1937,4,QAT,,
0.4098,1937,5,QAT,,
0.17117,1937,6,QAT,,
0.06401,1937,7,QAT,,
0.2036,1937,8,QAT,,
0,1937,9,QAT,,
0.04065,1937,10,QAT,,
14.2857,1937,11,QAT,,
2.02822,1937,12,QAT,,
12.8448,1938,1,QAT,,
22.2115,1938,2,QAT,,
2.64273,1938,3,QAT,,
1.72288,1938,4,QAT,,
0.4098,1938,5,QAT,,
0.17117,1938,6,QAT,,
0.06401,1938,7,QAT,,
0.2036,1938,8,QAT,,
0,1938,9,QAT,,
0.04065,1938,10,QAT,,
0.37626,1938,11,QAT,,
16.393,1938,12,QAT,,
6.5539,1939,1,QAT,,
9.29422,1939,2,QAT,,
19.7943,1939,3,QAT,,
23.5951,1939,4,QAT,,
0.4098,1939,5,QAT,,
0.17117,1939,6,QAT,,
0.06401,1939,7,QAT,,
0.2036,1939,8,QAT,,
0,1939,9,QAT,,
0.04065,1939,10,QAT,,
0.37626,1939,11,QAT,,
13.2727,1939,12,QAT,,
10.8108,1940,1,QAT,,
7.61614,1940,2,QAT,,
3.97743,1940,3,QAT,,
3.13787,1940,4,QAT,,
1.73458,1940,5,QAT,,
0.17117,1940,6,QAT,,
0.06401,1940,7,QAT,,
0.2036,1940,8,QAT,,
0,1940,9,QAT,,
0.04065,1940,10,QAT,,
6.2461,1940,11,QAT,,
2.85657,1940,12,QAT,,
1.70388,1941,1,QAT,,
8.94283,1941,2,QAT,,
19.0418,1941,3,QAT,,
13.8575,1941,4,QAT,,
0.4321,1941,5,QAT,,
0.17117,1941,6,QAT,,
