,year,country_code,reported_cases,region_x,reported_deaths,region_y,population,tx_resistance,tx_resistance_int,number_nets,point_prevalence
105,2014,HTI,17662.0,AMR,9.0,AMR,10572466.0,No,0.0,0.0,0.0016705657885303202
106,2011,LAO,17835.0,WPR,17.0,WPR,6333487.0,Not tested/reported,0.0,0.0,0.0028159843069070797
107,2006,BOL,19725.0,AMR,0.0,AMR,9283334.0,Not tested/reported,0.0,0.0,0.0021247754308958396
108,2012,GAB,19753.0,AFR,134.0,AFR,1756817.0,Not tested/reported,0.0,0.0,0.011243629814602203
109,2002,LAO,21420.0,WPR,195.0,WPR,5497273.0,Not tested/reported,0.0,0.0,0.0038964773988848654
110,2005,HTI,21778.0,AMR,29.0,AMR,9263404.0,Not tested/reported,0.0,0.0,0.002350971629867379
111,2010,SOM,24553.0,EMR,6.0,EMR,12053223.0,Yes,1.0,0.0,0.002037048513912005
112,2010,SOM,24553.0,EMR,6.0,EMR,12053223.0,No,0.0,0.0,0.002037048513912005
113,2011,THA,24897.0,SEAR,43.0,SEAR,67530130.0,Not tested/reported,0.0,0.0,0.00036867987667134653
114,2001,LAO,27076.0,WPR,242.0,WPR,5414568.0,Not tested/reported,0.0,0.0,0.005000583610733119
115,2001,GUY,27122.0,AMR,30.0,AMR,752263.0,Not tested/reported,0.0,0.0,0.03605388009246766
116,2005,THA,29782.0,SEAR,161.0,SEAR,65425470.0,Not tested/reported,0.0,0.0,0.00045520498362487883
117,2005,THA,29782.0,SEAR,161.0,SEAR,65425470.0,No,0.0,0.0,0.00045520498362487883
118,2011,CIV,29976.0,AFR,1389.0,AFR,20895311.0,Yes,1.0,0.0,0.0014345802271141118
119,2010,THA,32480.0,SEAR,80.0,SEAR,67208808.0,Not tested/reported,0.0,0.0,0.0004832699904453
120,2006,HTI,32739.0,AMR,32.0,AMR,9409457.0,Not tested/reported,0.0,8000.0,0.0034793718702365076
121,2011,ERI,34848.0,AFR,12.0,AFR,4474690.0,Not tested/reported,0.0,0.0,0.007787802060030974
122,2006,PHL,35405.0,WPR,124.0,WPR,87809419.0,Not tested/reported,0.0,0.0,0.0004032027589204297
123,2006,PHL,35405.0,WPR,124.0,WPR,87809419.0,No,0.0,0.0,0.0004032027589204297
124,2001,GTM,35824.0,AMR,0.0,AMR,11924946.0,Not tested/reported,0.0,0.0,0.003004122618249173
125,2003,CAF,37896.0,AFR,417.0,AFR,3981665.0,Not tested/reported,0.0,0.0,0.009517626420103148
126,2014,THA,37921.0,SEAR,38.0,SEAR,68416772.0, Not tested/reported,0.0,0.0,0.0005542646765035918
127,2012,KHM,40476.0,WPR,45.0,WPR,14776866.0,Not tested/reported,0.0,0.0,0.0027391464468852866
128,2008,GAB,40701.0,AFR,156.0,AFR,1536411.0,No,0.0,0.0,0.026490958474002072
129,2008,GAB,40701.0,AFR,156.0,AFR,1536411.0,Not tested/reported,0.0,0.0,0.026490958474002072
130,2002,TCD,43933.0,AFR,98.0,AFR,9001689.0,Not tested/reported,0.0,0.0,0.004880528531923287
131,2002,TCD,43933.0,AFR,98.0,AFR,9001689.0,No,0.0,0.0,0.004880528531923287
