tas,"	Year", Month, Country
26.731,1924,8,BLZ
26.4511,1924,9,BLZ
25.1478,1924,10,BLZ
22.6231,1924,11,BLZ
23.0562,1924,12,BLZ
22.8261,1925,1,BLZ
22.794,1925,2,BLZ
23.9137,1925,3,BLZ
24.9592,1925,4,BLZ
25.8557,1925,5,BLZ
26.2705,1925,6,BLZ
26.2636,1925,7,BLZ
26.7508,1925,8,BLZ
26.4003,1925,9,BLZ
26.2551,1925,10,BLZ
23.7422,1925,11,BLZ
22.6379,1925,12,BLZ
21.9531,1926,1,BLZ
22.5526,1926,2,BLZ
24.6097,1926,3,BLZ
25.9324,1926,4,BLZ
26.0751,1926,5,BLZ
26.8895,1926,6,BLZ
26.9373,1926,7,BLZ
26.6622,1926,8,BLZ
26.9321,1926,9,BLZ
25.8844,1926,10,BLZ
22.8264,1926,11,BLZ
23.2249,1926,12,BLZ
21.6334,1927,1,BLZ
23.9734,1927,2,BLZ
24.4673,1927,3,BLZ
26.2705,1927,4,BLZ
27.6963,1927,5,BLZ
27.6027,1927,6,BLZ
26.2515,1927,7,BLZ
27.1297,1927,8,BLZ
26.859,1927,9,BLZ
25.4746,1927,10,BLZ
23.3431,1927,11,BLZ
22.6999,1927,12,BLZ
21.4155,1928,1,BLZ
23.4452,1928,2,BLZ
24.6097,1928,3,BLZ
25.5473,1928,4,BLZ
26.1533,1928,5,BLZ
27.8435,1928,6,BLZ
26.7573,1928,7,BLZ
27.0445,1928,8,BLZ
27.1198,1928,9,BLZ
25.9872,1928,10,BLZ
23.3431,1928,11,BLZ
22.3651,1928,12,BLZ
22.8322,1929,1,BLZ
24.3214,1929,2,BLZ
25.459,1929,3,BLZ
27.1729,1929,4,BLZ
26.9989,1929,5,BLZ
26.4931,1929,6,BLZ
25.9718,1929,7,BLZ
26.4687,1929,8,BLZ
26.3474,1929,9,BLZ
25.5731,1929,10,BLZ
24.1835,1929,11,BLZ
21.9933,1929,12,BLZ
22.5096,1930,1,BLZ
22.8556,1930,2,BLZ
24.2067,1930,3,BLZ
25.0438,1930,4,BLZ
26.7584,1930,5,BLZ
26.3563,1930,6,BLZ
25.9336,1930,7,BLZ
26.7885,1930,8,BLZ
26.5632,1930,9,BLZ
25.7356,1930,10,BLZ
22.9772,1930,11,BLZ
21.6884,1930,12,BLZ
21.9276,1931,1,BLZ
22.9172,1931,2,BLZ
23.7778,1931,3,BLZ
25.4591,1931,4,BLZ
26.4889,1931,5,BLZ
26.8543,1931,6,BLZ
26.1431,1931,7,BLZ
26.9225,1931,8,BLZ
26.8833,1931,9,BLZ
25.7831,1931,10,BLZ
22.8636,1931,11,BLZ
23.6319,1931,12,BLZ
23.3287,1932,1,BLZ
23.9999,1932,2,BLZ
24.2969,1932,3,BLZ
25.6226,1932,4,BLZ
26.8764,1932,5,BLZ
26.6545,1932,6,BLZ
26.1999,1932,7,BLZ
26.6425,1932,8,BLZ
27.1365,1932,9,BLZ
25.6959,1932,10,BLZ
22.1716,1932,11,BLZ
22.9681,1932,12,BLZ
22.8468,1933,1,BLZ
24.0293,1933,2,BLZ
24.5059,1933,3,BLZ
27.0113,1933,4,BLZ
27.0555,1933,5,BLZ
26.6451,1933,6,BLZ
26.1924,1933,7,BLZ
26.2142,1933,8,BLZ
26.1179,1933,9,BLZ
25.3833,1933,10,BLZ
22.4048,1933,11,BLZ
22.2361,1933,12,BLZ
22.6163,1934,1,BLZ
22.631,1934,2,BLZ
23.274,1934,3,BLZ
26.1602,1934,4,BLZ
26.2986,1934,5,BLZ
26.3517,1934,6,BLZ
26.0961,1934,7,BLZ
26.8625,1934,8,BLZ
26.6199,1934,9,BLZ
25.516,1934,10,BLZ
23.4921,1934,11,BLZ
22.8924,1934,12,BLZ
21.5382,1935,1,BLZ
21.8898,1935,2,BLZ
24.4516,1935,3,BLZ
26.5248,1935,4,BLZ
27.299,1935,5,BLZ
27.0621,1935,6,BLZ
26.2637,1935,7,BLZ
26.3748,1935,8,BLZ
26.7757,1935,9,BLZ
25.4044,1935,10,BLZ
23.0499,1935,11,BLZ
22.4145,1935,12,BLZ
23.3857,1936,1,BLZ
24.0458,1936,2,BLZ
25.0815,1936,3,BLZ
26.1757,1936,4,BLZ
26.6497,1936,5,BLZ
26.8217,1936,6,BLZ
26.1956,1936,7,BLZ
26.8398,1936,8,BLZ
26.6196,1936,9,BLZ
26.1073,1936,10,BLZ
23.7694,1936,11,BLZ
22.5073,1936,12,BLZ
23.9826,1937,1,BLZ
23.9088,1937,2,BLZ
24.9148,1937,3,BLZ
26.3047,1937,4,BLZ
26.7847,1937,5,BLZ
26.9906,1937,6,BLZ
26.3109,1937,7,BLZ
26.5796,1937,8,BLZ
26.1513,1937,9,BLZ
25.0556,1937,10,BLZ
22.3003,1937,11,BLZ
22.2081,1937,12,BLZ
21.8633,1938,1,BLZ
22.5189,1938,2,BLZ
24.6817,1938,3,BLZ
24.8622,1938,4,BLZ
26.5284,1938,5,BLZ
26.2675,1938,6,BLZ
25.8137,1938,7,BLZ
26.1351,1938,8,BLZ
26.1507,1938,9,BLZ
24.6766,1938,10,BLZ
23.102,1938,11,BLZ
21.5271,1938,12,BLZ
22.4959,1939,1,BLZ
23.358,1939,2,BLZ
23.8619,1939,3,BLZ
25.8671,1939,4,BLZ
26.6769,1939,5,BLZ
26.3807,1939,6,BLZ
26.1636,1939,7,BLZ
26.4918,1939,8,BLZ
25.8313,1939,9,BLZ
25.4679,1939,10,BLZ
22.3063,1939,11,BLZ
23.048,1939,12,BLZ
21.2913,1940,1,BLZ
21.4459,1940,2,BLZ
24.2382,1940,3,BLZ
25.2037,1940,4,BLZ
26.3898,1940,5,BLZ
26.4799,1940,6,BLZ
26.5216,1940,7,BLZ
26.9904,1940,8,BLZ
26.6136,1940,9,BLZ
24.8212,1940,10,BLZ
23.2057,1940,11,BLZ
22.5466,1940,12,BLZ
21.8277,1941,1,BLZ
22.2917,1941,2,BLZ
24.0141,1941,3,BLZ
26.2569,1941,4,BLZ
26.0729,1941,5,BLZ
27.2907,1941,6,BLZ
26.1926,1941,7,BLZ
26.7207,1941,8,BLZ
26.3631,1941,9,BLZ
25.3009,1941,10,BLZ
22.8471,1941,11,BLZ
23.1448,1941,12,BLZ
21.0782,1942,1,BLZ
22.975,1942,2,BLZ
24.052,1942,3,BLZ
25.6006,1942,4,BLZ
27.4072,1942,5,BLZ
26.7756,1942,6,BLZ
26.0005,1942,7,BLZ
25.9528,1942,8,BLZ
