tas,"	Year", Month, Country, ISO3, ISO2
27.28,2000,9,ASM,,
27.4,2000,10,ASM,,
27.8799,2000,11,ASM,,
28.48,2000,12,ASM,,
28.94,2001,1,ASM,,
28.52,2001,2,ASM,,
28.4599,2001,3,ASM,,
28.48,2001,4,ASM,,
28.4,2001,5,ASM,,
27.7999,2001,6,ASM,,
27.18,2001,7,ASM,,
27.48,2001,8,ASM,,
27.42,2001,9,ASM,,
27.6,2001,10,ASM,,
28.2,2001,11,ASM,,
28.1,2001,12,ASM,,
28.92,2002,1,ASM,,
29.54,2002,2,ASM,,
28.92,2002,3,ASM,,
28.84,2002,4,ASM,,
28.76,2002,5,ASM,,
27.7999,2002,6,ASM,,
27.84,2002,7,ASM,,
26.92,2002,8,ASM,,
27.76,2002,9,ASM,,
27.4599,2002,10,ASM,,
28.64,2002,11,ASM,,
28.84,2002,12,ASM,,
29.5,2003,1,ASM,,
28.68,2003,2,ASM,,
29.14,2003,3,ASM,,
28.2799,2003,4,ASM,,
28.04,2003,5,ASM,,
26.74,2003,6,ASM,,
26.72,2003,7,ASM,,
25.92,2003,8,ASM,,
27.22,2003,9,ASM,,
27.5599,2003,10,ASM,,
27.32,2003,11,ASM,,
27.7999,2003,12,ASM,,
27.68,2004,1,ASM,,
27.4,2004,2,ASM,,
27.4599,2004,3,ASM,,
27.48,2004,4,ASM,,
27.02,2004,5,ASM,,
26.78,2004,6,ASM,,
26.6,2004,7,ASM,,
27.22,2004,8,ASM,,
27.48,2004,9,ASM,,
27.66,2004,10,ASM,,
28.0599,2004,11,ASM,,
28.9599,2004,12,ASM,,
28.7799,2005,1,ASM,,
29.08,2005,2,ASM,,
29.14,2005,3,ASM,,
28.68,2005,4,ASM,,
27.6399,2005,5,ASM,,
26.74,2005,6,ASM,,
26.52,2005,7,ASM,,
26.7799,2005,8,ASM,,
27.42,2005,9,ASM,,
27.62,2005,10,ASM,,
28.2999,2005,11,ASM,,
27.82,2005,12,ASM,,
27.74,2006,1,ASM,,
27.7799,2006,2,ASM,,
28.58,2006,3,ASM,,
28.74,2006,4,ASM,,
28.64,2006,5,ASM,,
27.42,2006,6,ASM,,
26.52,2006,7,ASM,,
26.92,2006,8,ASM,,
26.8599,2006,9,ASM,,
26.94,2006,10,ASM,,
27.18,2006,11,ASM,,
27.64,2006,12,ASM,,
28.4,2007,1,ASM,,
28.58,2007,2,ASM,,
28.54,2007,3,ASM,,
28.84,2007,4,ASM,,
27.9599,2007,5,ASM,,
26.92,2007,6,ASM,,
27.9599,2007,7,ASM,,
26.5,2007,8,ASM,,
27.8799,2007,9,ASM,,
28.04,2007,10,ASM,,
28.26,2007,11,ASM,,
28.26,2007,12,ASM,,
28.44,2008,1,ASM,,
28.84,2008,2,ASM,,
28.48,2008,3,ASM,,
27.24,2008,4,ASM,,
26.68,2008,5,ASM,,
26.94,2008,6,ASM,,
25.8599,2008,7,ASM,,
25.76,2008,8,ASM,,
27.02,2008,9,ASM,,
27.76,2008,10,ASM,,
28.1,2008,11,ASM,,
28.8799,2008,12,ASM,,
29.32,2009,1,ASM,,
29.48,2009,2,ASM,,
29.34,2009,3,ASM,,
27.34,2009,4,ASM,,
27.54,2009,5,ASM,,
26.94,2009,6,ASM,,
26.74,2009,7,ASM,,
26.0599,2009,8,ASM,,
26.4599,2009,9,ASM,,
26.92,2009,10,ASM,,
27.0599,2009,11,ASM,,
27.16,2009,12,ASM,,
29.2199,2010,1,ASM,,
27.8,2010,2,ASM,,
27.82,2010,3,ASM,,
28.34,2010,4,ASM,,
28.08,2010,5,ASM,,
26.98,2010,6,ASM,,
26.5599,2010,7,ASM,,
26.4599,2010,8,ASM,,
26.7,2010,9,ASM,,
26.68,2010,10,ASM,,
26.8599,2010,11,ASM,,
26.9599,2010,12,ASM,,
26.72,2011,1,ASM,,
26.76,2011,2,ASM,,
27.62,2011,3,ASM,,
28.04,2011,4,ASM,,
27.3,2011,5,ASM,,
27,2011,6,ASM,,
27.32,2011,7,ASM,,
26.44,2011,8,ASM,,
26.8599,2011,9,ASM,,
27.1399,2011,10,ASM,,
26.76,2011,11,ASM,,
27.34,2011,12,ASM,,
27.6,2012,1,ASM,,
27.52,2012,2,ASM,,
27.34,2012,3,ASM,,
27.34,2012,4,ASM,,
26.94,2012,5,ASM,,
26.78,2012,6,ASM,,
26.3599,2012,7,ASM,,
26.66,2012,8,ASM,,
27.12,2012,9,ASM,,
27.6,2012,10,ASM,,
28.02,2012,11,ASM,,
27.5599,2012,12,ASM,,
27.52,2013,1,ASM,,
28.16,2013,2,ASM,,
27.98,2013,3,ASM,,
28.4,2013,4,ASM,,
28.12,2013,5,ASM,,
27.3599,2013,6,ASM,,
26.72,2013,7,ASM,,
26.66,2013,8,ASM,,
27.1399,2013,9,ASM,,
27.2999,2013,10,ASM,,
27.52,2013,11,ASM,,
28,2013,12,ASM,,
27.62,2014,1,ASM,,
28.3799,2014,2,ASM,,
28.14,2014,3,ASM,,
27.6399,2014,4,ASM,,
27.44,2014,5,ASM,,
26.84,2014,6,ASM,,
26.12,2014,7,ASM,,
26.32,2014,8,ASM,,
27.52,2014,9,ASM,,
28.16,2014,10,ASM,,
27.26,2014,11,ASM,,
27.62,2014,12,ASM,,
28.02,2015,1,ASM,,
28.5,2015,2,ASM,,
28.4,2015,3,ASM,,
28.08,2015,4,ASM,,
27.18,2015,5,ASM,,
26.58,2015,6,ASM,,
26.26,2015,7,ASM,,
25.8599,2015,8,ASM,,
26.5599,2015,9,ASM,,
26.54,2015,10,ASM,,
27.7799,2015,11,ASM,,
27.66,2015,12,ASM,,
25.0499,1991,1,AIA,,
24.85,1991,2,AIA,,
25.225,1991,3,AIA,,
25.6749,1991,4,AIA,,
26.25,1991,5,AIA,,
26.9249,1991,6,AIA,,
27.0999,1991,7,AIA,,
27.475,1991,8,AIA,,
27.25,1991,9,AIA,,
26.7999,1991,10,AIA,,
26.2,1991,11,AIA,,
24.5,1991,12,AIA,,
24.6749,1992,1,AIA,,
25.15,1992,2,AIA,,
25.125,1992,3,AIA,,
25.775,1992,4,AIA,,
25.85,1992,5,AIA,,
26.65,1992,6,AIA,,
26.9,1992,7,AIA,,
