tas,"	Year", Month, Country
33.961,1931,6,KWT
35.6324,1931,7,KWT
35.2728,1931,8,KWT
33.5578,1931,9,KWT
26.3865,1931,10,KWT
19.8259,1931,11,KWT
13.0016,1931,12,KWT
13.2204,1932,1,KWT
14.0817,1932,2,KWT
19.9239,1932,3,KWT
23.6043,1932,4,KWT
29.4713,1932,5,KWT
34.0159,1932,6,KWT
35.0594,1932,7,KWT
35.0645,1932,8,KWT
31.9514,1932,9,KWT
27.2585,1932,10,KWT
20.5525,1932,11,KWT
11.8408,1932,12,KWT
11.6263,1933,1,KWT
14.9122,1933,2,KWT
18.5601,1933,3,KWT
22.4048,1933,4,KWT
29.6858,1933,5,KWT
32.1988,1933,6,KWT
34.1749,1933,7,KWT
35.0612,1933,8,KWT
31.4212,1933,9,KWT
26.6928,1933,10,KWT
20.2499,1933,11,KWT
14.5388,1933,12,KWT
11.0506,1934,1,KWT
14.7709,1934,2,KWT
18.8268,1934,3,KWT
25.0569,1934,4,KWT
28.8784,1934,5,KWT
33.6743,1934,6,KWT
34.8234,1934,7,KWT
34.7923,1934,8,KWT
32.0444,1934,9,KWT
26.882,1934,10,KWT
20.4305,1934,11,KWT
14.5791,1934,12,KWT
12.4292,1935,1,KWT
14.8606,1935,2,KWT
20.4234,1935,3,KWT
23.1985,1935,4,KWT
30.4729,1935,5,KWT
34.6829,1935,6,KWT
35.489,1935,7,KWT
35.9763,1935,8,KWT
33.4441,1935,9,KWT
28.0653,1935,10,KWT
20.4652,1935,11,KWT
15.7139,1935,12,KWT
12.3291,1936,1,KWT
15.6942,1936,2,KWT
19.151,1936,3,KWT
24.7039,1936,4,KWT
30.3307,1936,5,KWT
32.3567,1936,6,KWT
35.2331,1936,7,KWT
36.2869,1936,8,KWT
31.6212,1936,9,KWT
26.5736,1936,10,KWT
20.9434,1936,11,KWT
12.9059,1936,12,KWT
10.1983,1937,1,KWT
14.531,1937,2,KWT
19.3109,1937,3,KWT
24.4074,1937,4,KWT
30.8795,1937,5,KWT
33.5039,1937,6,KWT
35.4371,1937,7,KWT
35.4319,1937,8,KWT
33.3424,1937,9,KWT
28.0374,1937,10,KWT
21.141,1937,11,KWT
14.827,1937,12,KWT
13.5649,1938,1,KWT
14.6005,1938,2,KWT
16.5092,1938,3,KWT
23.9221,1938,4,KWT
29.3745,1938,5,KWT
33.0711,1938,6,KWT
36.2322,1938,7,KWT
36.3149,1938,8,KWT
33.9401,1938,9,KWT
26.1585,1938,10,KWT
20.107,1938,11,KWT
14.9988,1938,12,KWT
13.6733,1939,1,KWT
14.433,1939,2,KWT
18.0383,1939,3,KWT
22.6022,1939,4,KWT
30.9219,1939,5,KWT
